Item,Count
following problems were addressed during this hospitalization:,1
Physical Examination on Dishcarge:,1
LABS ON DC:,8
We would like you to take the following medications:,1
CT ABDOMEN WITH AND WITHOUT INTRAVENOUS CONTRAST:,5
CT PELVIS WITH AND WITHOUT INTRAVENOUS CONTRAST:,4
Problems at Discharge:,1
medications as prescribed:,3
Tacrolimus:,1
TELEMETRY:,4
Please note that several medication changes have been made:,1
PREOPERATIVE DIAGNOSES:,11
Culture Data from OSH:,1
of the following symptoms:,1
INR TREND:,2
The following appointments were already scheduled:,1
Chemotherapy:,1
Social Issues Causing a Delay in Discharge:,2
DIAGNOSES AT DEATH:,4
medical resident:,1
Post Gastrectomy diet:,1
scheduled prior to your hospital stay:,2
coronary artery bypass grafting with the following grafts:,1
Transitional issues for PCP:,1
MEDS at transfer:,1
changes include:,1
VIROLOGY:,1
INFLAMMATORY WORKUP:,1
VIRAL STUDIES:,1
TRANSITION:,1
hospital by problem:,1
Her most updated discharge medication list includes:,1
MEDICINE ACCEPT NOTE:,1
SICU Events:,1
SICU Course by systems:,1
Medicine course:,5
CONTINUATION OF HOSPITAL COURSE:,8
REVISED DISCHARGE MEDICATIONS:,3
General instructions:,20
Incision care:,23
issues were as follows:,2
Plan to:,1
the OR for:,1
recounted in her history and also shown in her abnormal labs:,1
Other PRN Meds:,1
OTC Meds:,1
Prior to transfer to the MICU:,1
make the following appointments for you:,1
SUMMARY OF CLL HISTORY:,1
   IMPRESSION:,3
Problem LIST:,1
Executive function:,1
CT ABDOMEN AND PELVIS:,5
CAROTID ULTRASOUND:,1
You should NOT be taking:,1
CARDIAC MARKERS:,5
ANEMIA STUDIES:,2
SPEECH and SWALLOW EVALUATION:,1
HYPONATREMIA:,1
DELIRIUM:,2
Relevant data in hospital:,3
summarized by following systems:,1
FU APPOINTMENTS:,5
PAST GYNECOLOGICAL HISTORY:,2
CURRENT DIAGNOSES:,3
Home medications:,13
EEG Monitoring:,2
RAD:,5
Cards:,7
will be discharged on the following medications:,1
diagnoses of the following:,1
Draw weekly:,1
Microbiology Data:,13
patient was discharged on the following medications:,1
PGH:,2
complete your recovery with the following instructions:,9
General Physical Examination:,6
Posture and Movement:,2
Tone and Bulk:,4
Coordination and Cerebellar Function:,3
MRI HEAD WITH AND WITHOUT CONTRAST:,1
CHEST XRAY:,1
Cardiac Enzyme trend:,1
The following medications were changed in the hospital:,4
Unilateral US:,1
HISTORY OF PRESENTING ILLNESS:,5
JTUBE Care:,1
STROKE:,1
PNA:,1
CHF:,3
DISCHARGE MEDICATIONS WERE AS FOLLOWS:,1
Grafts on last cath:,1
MEDICATIONS AT REHABILITATION CENTER:,1
Home medication regimen:,1
following people:,1
MEDICATIONS ON TRANSFER FROM NURSING HOME:,1
CTU IMPRESSION:,1
Please follow up with vascular surgery in clinic on:,1
Medicatio changes:,1
on Hemodialysis:,1
the Medical Floor by issues:,1
Peripheral Blood Analysis:,1
Labs during hospitalization:,4
RELEVENT LABS:,10
Pending Labs:,11
ANTIBIOTIC ADMINISTRATION:,1
NOTABLE LABS ON DISCHARGE:,2
The following medications were STOPPED:,7
CT abdomen and pelvis:,4
are as follows:,6
Please keep in mind two important points:,1
Outpatient Medications:,2
Neurosurgery Inpatient Medications:,1
For your upcoming biopsy you need to check in at:,1
To discuss the results of your biopsy:,1
We made the following changes to your medicaitons:,1
Medical History:,2
Neurological exam at time of discharge:,2
Subcutaneous four times a day as needed for hyperglycemia:,2
CT Abdomen Pelvis:,1
Other outstanding medical issues:,1
to this slide scale:,1
ULTRASOUNDS:,1
HPI ADDENDUM:,1
Per neurology:,1
PRIOR SURGICAL HISTORY:,3
We have made the following changes to your home medications:,18
LABORATORY:,5
MRA NECK:,6
Sacral wound:,1
INVASIVE PROCEDURE:,1
Altered mental status:,3
Hematology labs:,2
Please see below for the dates of your next appointment:,1
Interval Labs:,5
PEx:,1
LABORATORY DATA From OSH:,1
The following change were made to your medications:,1
Other inactive issues:,1
MICU Txfer:,1
On Transfer to floor from MICU:,1
General Instructions for Rib fractures:,1
TRAUMA HX:,1
Studies pending on Discharge:,1
PHYSICAL EXAM on discharge:,2
CARD ENZYMES:,1
Recent Micro history:,1
Already scheduled apppointments:,2
These changes were made to your medications:,4
PTA COMMENTS:,1
Humalog sliding scale:,3
You also have the following appointment listed as upcoming:,1
address the issues relating to this hospitalization:,1
We made the following changes to your medicine:,4
Humalog sliding scale units with meals:,1
were made to your regimen:,1
Physical on Discharge:,1
CT SCAN OF THE ABDOMEN:,1
Hospital course summary by systems:,1
PSYCHOSOCIAL:,6
His hospital course is further detailed below by organ system:,1
Please see a pulmonologist:,1
Post Off Pump CABG:,1
Abd :,1
Brief hospital course after transfer to the medical service:,1
The remainder of his hospital course is broken down by systems:,1
progress note is below for details:,1
recovery:,2
hospital and pt was placed on the following taper for discharge:,1
Additional findings on transfer from the MICU:,1
provider:,1
Medications prior to last admission:,1
note below that details his plan per problem:,1
Percutaneous coronary intervention:,3
A few medication changes have been made:,1
Please call your doctor or return to the emergency room for:,1
Appointments :,1
Lipid Panel:,7
Medicine:,3
discharge is:,1
MEDICATIONS ON TRANSFER TO CORONARY CARE UNIT:,1
lung disease:,1
Intensive Care Unit on the following additional medications:,1
Cardiac Markers:,10
The following antibiotics were started:,1
The following changes were made to your outpatient medications:,2
Chronic problems:,2
following blood pressure medications:,1
Events prior to code:,1
Events:,13
Day of CODE BLUE:,1
By problem list prior to expiration:,1
Vascular Hx:,1
VAC Instructions:,1
CARDIAC LABS:,5
CEREBRAL FLUID:,1
Her medical floor course can be summarized as follows:,1
INACTIVE TISSUES:,1
This are the instructions given by neurosurgery:,1
You were just restarted on medication for your neuropathic pain:,1
made:,5
MEDICATIONS ON DISCHARGE FROM THIS HOSPITALIZATION:,1
SPECIAL TREATMENTS AND FREQUENCY:,1
Specific instructions:,1
LABORATORY DATA ON DISCHARGE:,2
medication changes and additions:,1
IR embolization:,1
to home on the following medications:,1
Enteroscopy:,2
EKG post cath:,1
CONTRAST:,3
LEFT VESSELS:,1
RIGHT VESSELS:,1
Likely due to:,1
Also with:,1
Data on transfer to floors:,1
follow up crit was:,1
CT CHEST WITHOUT INTRAVENOUS CONTRAST:,1
BG:,1
ACTIVE ISSUE:,4
Chronic care:,1
ISSUES TO ADDRESS AT FOLLOW UP:,4
You will be discharged on the following new medications:,1
Please stop the following medications:,3
PATHOLGOY:,1
following issues:,8
Please schedule appointments with:,3
Radiographic Studies:,9
ILLICITS:,1
noting the following:,1
Updated and corrected list of discharge medications:,1
his hospital stay:,1
Please keep all previously scheduled appointments:,2
of new medications:,1
providers:,1
Her Primary Contacts:,1
ICU and Hospital course:,1
as listed below:,4
during her admission:,1
were made to your medication regimen:,1
MEDICATIONS ON TRANSFER TO THE MEDICAL ICU:,1
PHYSICAL EXAMINATION ON ADMISSION TO THE INTENSIVE CARE UNIT:,5
BLOOD SMEAR:,1
his regimen per recent discharge summary is:,1
day of discharge exam:,1
Motor System:,5
Sensory System:,1
were addressed:,2
PHYSICAL EXAM ON ADMISSION TO MEDICINE TEAM:,1
MSK:,11
Gallbladder:,3
Biomarkers:,4
Temporary PCP:,1
home services with details of course as below:,1
Primary Diagnosis:,11
following additions:,1
following adjustments were also made to your medications:,1
RIGHT AND LEFT HEART CATHETERIZATION:,1
Medications upon transfer:,6
Pre bypass:,2
MEDICATIONS on TRANSFER from OSH:,1
Cardiovasc:,1
addressed during his MICU course:,1
   Intervals Axes:,9
Derm exam on admit:,1
issues were investigated during her hospitalization:,1
CARDIAC CATHETERIZATION REPORT:,1
R foot films:,2
Ascitic Fluid:,2
Floor Transfer Exam:,1
Seconday diagosis:,1
rehabilitation on:,1
with the following:,2
The following appointments have been scheduled for:,1
appointments that are scheduled for you are as follow:,1
Recent pRBC Transfusions:,1
Hematoma:,1
Joint Fluid Aspirations:,1
Micriobiology:,3
You are being discharged with the following instructions:,3
Drain Care:,9
You also have the following appointments with the lung doctor:,1
past surgical hx:,1
Please follow up with this appointment:,1
LEFT VENTRICULOGRAPHY:,25
Qualitative wall motion:,25
Other findings:,23
Problem list:,6
ED Course :,1
Serial EKG:,1
Pertinent Interval Labs:,9
Labs on Discharge and Pertinent Labs throughout hospitalization:,1
Pleural Fluid Studies:,2
MRI of back:,1
Dressing changes will be performed by:,1
Serum Tox:,2
AED levels:,5
Physical Exam upon Discharge:,3
MICRO Data:,2
   Recommendations:,1
PShx:,4
dictated in a organ based system below:,1
described below by system:,2
Please follow up with following appointments:,1
Torso CT:,5
Brain MR:,2
TRANSFER MEDICATIONS TO MEDICAL SERVICE:,1
CHEMSITRIES:,2
You have these appointments previously scheduled:,1
MICU course was notable for:,1
DISCHARGE LABORATORIES:,7
VNA INFO:,1
ASPIRATION PNA:,1
CODE:,3
Cognitive Exam:,2
with the following changes:,3
Inpatient:,4
Exam On discharge:,1
Recent Labs prior to discharge:,1
medications listed differently:,1
Laboratory values on admission:,1
Laboratory values on discharge:,1
A brief hospital course by problem is also outlined below:,1
 Activity:,3
 Medications:,5
 Call the office IMMEDIATELY if you have any of the following:,5
 Return to the ER if:,5
Starting:,1
Decreasing:,1
Stopping:,1
On transfer to MICU:,3
ON Discharge:,4
This is the list of MEDICATIONS you are discharged on:,1
Here is a SUMMARY OF MEDICATION CHANGES on this admission:,1
On transfer to the floor:,13
MEDICATION CHANGES DURING THIS ADMISSION:,2
lease call your doctor or go to the emergency department if:,1
ON TRANSFER TO MEDICINE TEAM:,1
GASTROINTESTINAL BLEEDING:,1
PORTAL HYPERTENSION:,1
THROMBOCYTOPENIA:,1
VENTRICULAR BIGEMINY:,1
LOW GRADE PANCREATITIS:,1
PRIMARY CARE PHYSICIAN:,4
FURTHER IMAGING STUDIES:,1
Meds on transfer to CCU:,1
Ileocolectomy specimen:,1
experience any of the following:,13
OTHER PERTINENT STUDIES:,2
The following medications have been changed:,5
Call a doctor or return to the ER immediately for:,1
TOX SCREEN:,11
Per OMR:,5
Cardiac echo:,1
Admission Physical Exam:,3
He was given:,1
Acute diagnoses:,1
BRIEF SUMMARY OF HOSPITALIZATION:,1
These will be restarted by your PCP:,1
Cytology for Peritoneal fluid:,1
MRI abd:,2
Peritoneal fluid anlaysis:,1
of wound on closure:,1
Cardiac Echocardiogram:,4
baseline medications include:,1
TO DO:,12
PSxHx:,2
TRANSITIONAL OF CARE ISSUES:,1
Death:,1
Small Bowel Follow Through:,2
take:,3
ADMISSION RADIOLOGY:,1
The following medication was added:,1
Now:,2
LP results:,1
Remainder of hospital course is by problem:,1
Other Blood Gas:,12
Please keep all other appointments as listed below:,1
of this medication as follows:,1
aneurysm:,1
Please have the following tests done while at Rehab:,1
Medications on tx:,1
Catheterization report:,1
dictated up to the hospital course:,1
Urine Labs:,1
DSE:,1
US Doppler:,1
Chronic CHF:,1
SINGLE AP VIEW OF THE CHEST:,1
PREBYPASS:,15
by problems is as follows:,1
Pending studies at the time of discharge:,1
EGD Biopsy:,1
You have an upcoming appointment with your orthopedist:,1
Please make these changes to your medications:,1
PE on acceptance to floor:,1
Na Trend:,1
both are required:,1
may experience any of the following symptoms:,1
core biopsy:,1
FOLLOW UP INSTRUCTIONS:,1
Labs on transfer to the floor:,1
Past surgical hx:,3
His OSH course is as follows:,1
CONCISE SUMMARY OF HOSPITAL COURSE ON THE MEDICINE FLOOR:,1
Other upcoming appointments:,3
labs at discharge:,6
Fever:,3
Follow up at the transplant center:,1
Test to evaluate nausea and vomiting:,1
CCATH:,2
You have the following appointments already made:,3
Seconady diagnoses:,1
Surgical findings were:,1
The procedures performed were:,1
performed at that time were:,1
Neuro Exam:,16
OSH data:,2
was also provided with these instructions by the nurse:,1
Sleep study:,1
Substance Abuse Hx:,1
OUTPATIENT ISSUEs:,1
TRANSITIONAL ISSES:,2
AMS workup:,1
L shoulder MRI:,1
Other scheduled appointments:,1
OLD STUDIES:,1
MEDICATIONS IN HOSPITAL:,1
she received the following bypass grafts:,1
Follow up appointments:,13
Coagulation:,31
Relevant imaging data:,10
by details:,1
TOX:,10
DOSE CHANGE:,1
DSCHRG LABS:,1
CT ANGIOGRAM OF THE HEAD AND NECK:,3
LAB RESULTS:,3
Return to the ED if you have any of the following:,1
Follow up with Nephrology:,1
INITIAL CT:,1
REPEATED HEAD CT:,1
INITIAL CXR TO EVAL SHUNT PATENCY:,1
INITIAL EEG:,1
NEUROENDOCRINE:,1
Appointments scheduled prior to this admission:,2
Hospital course on general medicine floor by problem:,1
made to your medications:,2
Her hospital course is broken down by systems as follows:,1
Lovenox to Coumadin bridge:,1
You can continue:,1
admission showed:,1
ORTHOPEDIC:,1
MEDICATIONS ON ADMISSION FROM OUTSIDE HOSPITAL:,1
RECOMMENDED FOLLOW UP:,9
Lytes:,7
Card Enzymes:,1
Physical Exam on day of discharge:,1
ADDENDUM TO HOSPITAL COURSE:,11
After first week:,1
You have the following appointments already scheduled:,5
Postop exam:,1
MRI neck:,1
We made a number of changes to your medications:,1
otherwise by your doctors:,1
You also were started on the following medications:,1
changed:,3
Listerine Ingestion:,1
Pain control:,3
Rib Pain:,1
Multiple Psychiatric diagnoses:,1
Dicharge planning:,1
You have the following appointment with your Cardiologist:,1
CARDIAC CATH COMMENTS:,1
CHEST CT WITHOUT AND WITH CONTRAST:,1
Intraoperative TEE:,1
Nuclear Imaging:,1
Cardiac Catheterization:,21
Endotracheal sputum cx:,1
    ABDOMEN AND PELVIS:,1
Studies on Discharge:,1
Arterial Blood Gases:,5
Pericardial Fluid:,5
Alrady scheduled appointments:,1
PRE BYPASS:,9
POST BYPASS:,13
PAST SURGIGAL HISTORY:,1
Right:,2
At transfer to MICU:,1
DISCHARGE DIAGNOSES AND DEATH NOTICE:,1
Brief hospital course by systems below:,1
Chest pressure:,1
ARF on CKD:,1
Return to the hospital or call your doctor immediately for:,2
Digoxin:,4
CXRs:,2
TUBE FEEDS:,1
BY PROBLEM:,1
The rest of his hospital course is as follows:,1
time:,3
OPERATION PERFORMED:,22
Regarding your kidney function:,1
culture data:,1
Currently scheduled appointments:,2
Discharge Results:,10
changed or discontinued as noted:,1
this hospitalization:,3
Call your doctor or go to the ER for any of the following:,7
Schedule appointments:,3
Liver biopsy pathology:,1
abnormalities:,2
delineated by problem as follows:,1
Labs at time of expiration:,1
Todays labs:,1
Medications on transfer from MICU:,3
Card Cath:,1
Labs On Discharge:,11
Detailed Course by Problem:,1
ON TRANSFER FROM MEDICAL INTENSIVE CARE UNIT:,1
VQ scan:,1
On transfer from ICU:,2
Urine Cultures:,6
CSF Cultures:,1
Cultures from this admission:,1
Laboratory data:,2
was on the following abx while in house:,1
MEDICATIONS AT TIME OF DISCHARGE SUMMARY:,1
Diagnostic tests perfomred at outside provers include:,1
last dictation:,1
ADDENDUM TO PRIOR DISCHARGE SUMMARY:,1
SPECIMENS:,1
MEDICATIONS ON TRANSFER FROM THE MICU TO THE CCU:,1
is below:,1
Select labs:,1
contact your primary care physician or go to the emergency room:,1
CT chest abdomen pelvis:,1
Hospital course addressed by problem below:,1
HISTORY OF HOSPITAL COURSE BY SYSTEMS:,54
For you heart failure:,1
Please keep your already scheduled appointments:,1
Sleep Medicine:,1
PHYSICAL EXAM on Discharge:,2
Several of your medications are new or have changed:,1
Brief Course:,1
FOLLOWUP APPOINTMENTS:,11
OUTPATIENT REHABILITATION TREATMENT:,1
MEDICATIONS ON LAST DISCHARGE:,2
blood cultures:,2
MEDICATIONS ON TRANSFER FROM NEBH:,1
CHANGES TO YOUR MEDICATION:,2
Summary of hospital course by problem:,1
following changes were made to your medications:,2
Final Attending Note:,1
Level of consciousness:,1
What to expect when you go to rehab:,1
On transfer to CCU:,2
ABDOMINAL WALL:,1
BONES:,1
DETAILED HOSPITAL COURSE:,2
etiologies included the following:,1
GENERAL WARDS:,1
Past Psych Hx:,2
Not taking:,2
Transfered to cardiolgy for surgery:,1
TRANSITONAL ISSUES:,2
The following are the medications you should take at home:,1
Pre procedure:,1
CURRENT MEDICATIONS AT HOME:,1
Cath Report:,5
Salicylate levels:,1
MEDICATIONS ON TRANSFER TO THE CATHETERIZATION LABORATORY:,1
PHYSICAL EXAMINATION ON ADMISSION TO THE CORONARY CARE UNIT:,4
transferring your care:,1
TRANSFER DIAGNOSES:,18
data:,20
any of the following three criteria:,20
Rule out MI labs:,1
MEDICATIONS PRIOR TO ADMISSION TO HOSPITAL:,1
here we made the following changes to your medications:,1
ADDENDUM TO PREVIOUS DISCHARGE SUMMARY:,5
HOSPITAL COURSE BY ISSUES:,1
MEDICINES AS AN OUTPATIENT:,1
MEDICATIONS ON TRANSFER TO THE CCU:,2
MEDICATIONS AT TIME OF DICTATION:,6
therapist with the following recommedations:,1
Pertinent Past Studies:,1
Other Scheduled Appointments:,3
MAJOR PROCEDURES:,5
MAJOR INVASIVE PROCEDURES:,3
ADDITIONAL DISCHARGE DIAGNOSIS:,4
IMMUNIZATIONS:,12
EHO:,1
                                                    Resistant:,2
Recent Admissions as per HPI:,1
SUMMARY OF HOSPITAL COURSE BY SYSTEM:,112
OUTSIDE HOSPITAL STUDIES:,1
MEDICATIONS ON CORONARY CARE UNIT ARRIVAL:,1
FOLLOW UP APPOINTMENTS RECOMMENDED:,9
MEDICATIONS ON TRANSFER TO BONE MARROW TRANSPLANT SERVICE:,1
the previous discharge summary:,1
CT OF ABDOMEN WITH AND WITHOUT IV CONTRAST:,1
CT OF PELVIS WITH IV CONTRAST:,1
meet any of the following three criteria:,7
infants who meet any of the following three criteria:,1
Immunohistochemistry shows the following:,1
hospital course will be dictated by problem:,1
examination at the time of discharge revealed the following:,1
Physical exam on transfer to the floor:,1
LABORATORIES:,1
Her laboratories on the date of discharge are as follows:,1
MRI OF THE PELVIS WITHOUT AND WITH IV CONTRAST:,1
MEDICATION ON DISCHARGE:,2
DISCHARGE MEDICATIONS CHANGES:,1
Esophagus and Stomach Bx:,1
MEDICATIONS ON HOME:,1
DISCHARGE FEEDS:,1
Specific problems include discharge diagnosis:,1
OVERT DIAGNOSES:,1
Renal Fx and Na sample trend:,1
CT OF THE ABDOMEN WITH IV CONTRAST:,7
CT OF THE PELVIS WITH IV CONTRAST:,6
Descending colon and rectum biopsies:,1
Course reviewed by problem:,1
discharge from rehab:,2
Please go to the following follow up appointments:,1
ECG at discharge:,1
General Instructions from the Neurosurgery Service:,1
SURGICAL PROCEDURE:,1
We made the following changes in your medications:,6
PEG site:,1
Catheter tip:,1
Urine cultures:,4
CSF cultures:,1
NEUROLOGICAL EXAM:,3
CT BRAIN AT ADMISSION:,1
several services:,1
At the OSH:,2
ECHO Findings:,1
PHYSICAL EXAMINATION AT THE TIME OF DISCHARGE:,1
are discharged:,1
PRESSURE MEASUREMENTS:,1
Left Thigh Bx:,1
MEDICATIONS ON ADMISSION TO THE MICU:,1
Onc hx:,2
were made to your home medication list:,1
Admission Lab Results:,1
UA on admission:,1
experience any of the warning signs listed below:,1
PMIBI:,3
     FINAL DIAGNOSIS:,1
HEMATOLOGY RESULTS:,1
CHEMISTRY RESULTS:,1
MICROBIOLOGY RESULTS:,2
Car seat positioning screening:,1
indicated below:,3
CONSULTATIONS:,3
ADDITIONAL DIAGNOSIS:,1
medications are as follows:,1
EXAMINATION ON ADMISSION:,1
BLOODWORK:,3
Hematocrit Trend:,4
EXAM ON PRESENTATION:,1
Her postoperative course is summarizes as follows:,1
DIFFERENTIAL DIAGNOSIS:,1
Pertinent results:,4
INITIAL PHYSICAL EXAM:,2
this is likely a hypertensive emergency:,1
Recent relevant history:,1
We have made some changes to your medications as seen below:,2
We have added the following medications:,1
complications from years of poor glycemic control:,1
mood is sad or you are not taking pleasure in life:,1
BONE MARROW BIOPSY:,1
over the last few days including the following:,1
VS prior to transfer to floor:,1
For left heel and ankle ulcers:,1
Important follow up instructions include:,1
Her medications on transfer were:,1
course by symptoms:,1
MEDICATIONS ON TRANSFER FROM SICU:,2
Post offpump anastomosis:,1
cardiovascular status included the following:,1
dictation are:,1
pleural fluid at discharge:,1
Results:,6
MR spine:,1
You also have the following other appointments scheduled:,1
CARE RECOMMENDATION:,2
NEONATAL INTENSIVE CARE UNIT COURSE BY SYSTEM:,2
right four lumen catheter was put in and in addition:,1
R foot tissue culture:,1
R foot Swab:,1
R foot swab:,1
CT of the ABD:,1
Please call your PCP or go to the ER for:,1
Blood:,13
issues have been of concern:,1
ROUTINE CARE:,1
EEG results for long term monitoring during admission:,1
Care Recommendations:,3
CARE RECOMMENDATIONS ON DISCHARGE:,5
bed on the following medications:,1
Stroke risk factors:,1
SLEEP:,1
where you will also be seen by neurosurgery:,1
TRANSFER SUMMARY:,3
criteria:,78
PREVIOUS MEDICATIONS:,2
Peripheral Blood Smears:,2
Aspirate Smears:,1
ONC HISTORY:,2
MEDICATIONS UPON TRANSFER TO THE GENERAL MEDICINE SERVICE:,1
HOSPITAL COURSE LISTED BY PROBLEM:,2
RECOMMENDATIONS AFTER TRANSFER:,2
CARE AND RECOMMENDATIONS AFTER TRANSFER:,1
as of transfer to medicine:,1
The following issues were addressed as inpatient:,1
ADMISSION EXAM:,4
Medical ICU course was also significant for the following:,1
CURRENT DIAGNOSIS:,1
The assessment and plan at that time was as follows:,1
were managed as follows:,1
Right Foot Xray:,1
Eye Drops:,1
Your sliding scale insulin will be as below:,1
ADDED:,2
Intensive Care Unit was as follows:,1
DETAILED PROBLEM LIST:,1
HOSPITAL COURSE ON THE FLOOR:,1
Please follow up with the appointments below:,2
fistula:,1
of fibrin glue:,1
ACITVE ISSUES:,1
IMPORTANT YOUR TAKE FOR YOUR HEART:,1
We have also prescribed:,1
MEDICATIONS ON THIS ADMISSION:,1
medications including:,1
HEALTH CARE MAINTENANCE:,1
Cerebral Angiogram:,2
CARE RECOMMENDATIONS AT THE TIME OF DISCHARGE:,24
On Discharge from ICU:,1
Bronchoscopy:,2
LABS of RELEVANCE:,2
PERICARDIAL EFFUSION:,1
We made no changes to the following medications:,1
AP UPRIGHT CHEST RADIOGRAPH:,2
MEDICATIONS PREADMISSION:,1
Discharged on following regimen:,1
CARE AND RECOMMENDATIONS AT DISCHARGE:,31
RECOMMENDED IMMUNIZATIONS:,82
MEDICATIONS AT THE TIME OF PREADMISSION TESTING:,1
time of discharge will be dictated below:,1
DISCHARGE FOLLOW UP:,4
COURSE OF ADMISSION BY SYSTEM:,1
OTHER HOSPITAL DIAGNOSES:,1
PAST PROCEDURES:,1
Anal remanent:,1
Monitoring Ostomy Output:,4
PSX:,1
EXAM ON ADMISSION TO THE NEONATAL INTENSIVE CARE UNIT:,1
Specialized Testing:,2
DISCHARGE EXAMINATION:,10
The remained of the hospital course by system as follows:,1
The issues upon discharge are as follows:,1
Transition Issues:,13
Abdominal ultrasound with dopplers:,2
Abdominal CT scan:,1
Hosp course by problem:,2
Biomarkers Trend:,1
The following changes were made to your regimen:,1
PRNS:,3
CURRENT OUTPATIENT MEDICATIONS:,1
Imaging on admission:,2
Laboratoy data:,1
Pt underwent a:,2
DISCHARGE DIAGNOSE:,5
CARE AND RECOMMENDATION:,7
Prior imaging studies:,1
consistent with worsening heart failure:,1
CT sinus:,2
LABS UPON DISCHARGE:,5
Cheanges made to your medictations:,1
MRI of the brain with gadolinium:,1
Margins:,23
PHYSICAL EXAMINATION DURING ADMISSION:,1
ASSESSMENT AND PLAN:,11
intubation that was complicated by several infections:,1
The patient is transferred on the following medications:,3
Other pertinent data:,1
Hospital Meds:,1
INPATIENT MEDICATIONS ON TRANSFER:,1
Contact upon discharge:,1
On dicharge:,1
hospital course is summarized by system:,1
PHYSICAL EXAM AT TRANSFER TO THE GENERAL FLOOR:,1
Signed:,1
There have been changes to your medications as follows:,1
Micro Studies:,3
You also have the following appointments scheduled for you:,3
There is one change to your medications:,1
The Cardiac Surgery Office will call you with this appt:,1
Admission to ICU:,1
Thrombocytopenia:,2
On Transfer to the floor:,1
Seconday Diagnoses:,4
Home:,5
The adjustments to your meds are as follows:,1
but he is not taking them:,1
The patient received the following tests while a patient:,1
condition with the following home services:,1
Incidental finding of right kidney on CTA of chest and abdomen:,1
Home meds:,12
MEDICATIONS PRIOR TO ARRIVAL:,1
PHYSICAL EXAM ON PRESENTATION TO CCU:,1
BARIUM ESOPHAGRAM:,2
NURSERY COURSE:,1
HOSPITAL COURSE ASSESSMENT:,1
Please call your surgeon if you experience the following:,1
Biliary Drain Care:,1
STROKE INSTRUCTIONS:,1
neurology:,2
REVIEW OF FOLLOW UPS:,1
RETURN TO THE HOSPITAL IF:,1
On arrival to the MICU the patient appears ill with vitals T:,1
We made the following CHANGES to your medications:,8
Please also follow up with oncology:,1
Please call your doctor or go to the ER if you develop:,1
appointment is:,1
PAST GYN HISTORY:,1
PAST OBSTETRICAL HISTORY:,4
RADIOGRAPHIC DATA:,1
The following are new medications:,1
Of note:,4
counseling:,1
ANEURYSM:,2
POSSIBLE FIBROELASTOMA:,1
POSSIBLE ATRIAL FIBRILLATION:,1
Unruptured left MCA aneurysm:,1
started you on two new medications:,1
MEDICATIONS ON TRANSFER TO THE MEDICAL FLOOR:,2
PHYSICAL EXAMINATION ON TRANSFER TO THE MEDICAL SERVICE:,1
    infants who meet any of the following three criteria:,4
MICROBIOLOGY Overview:,1
with the following instructions:,10
inhibitor level assays in Bethesda units were as follows:,1
Carotid duplex:,1
Speech and Swallow evaluation:,1
Day of discharge labs:,2
He should be followed for:,1
Please note the following instructions:,2
studies during her admission:,1
neuralgia:,1
Please resume as you were taking before hospitalization:,1
DISCHARGE LAB:,3
CONTRACTIONS:,1
The following issues were addressed upon transfer to the floor:,1
DIAGNOSES ON TRANSFER:,2
habits:,1
PHYSICAL EXAMINATION ON TRANSFER TO THE MEDICINE TEAM:,1
We have stopped all medications with the exception of:,1
The following is her MICU course:,1
Discharge Data:,1
Past psychiatric history:,4
Other medications at time of discharge are:,1
the hospital course by system:,1
coagulation panel:,1
chemistry:,6
detailed below by system:,1
Cardiopulmonary:,2
Prednisone Taper:,1
HPI from transfer to general medicine service:,1
START the following medications aimed at providing you comfort:,1
follows by issue:,1
were made:,1
MEDICATIONS PREOPERATIVE:,2
DischargE:,1
PROCEDURES DURING HOSPITAL COURSE:,1
MEDICATIONS AT THE TIME OF THIS DICTATION:,2
CAR SEATING POSITIONING SCREENING AND STATE NEWBORN SCREEN:,1
Significant events during the rest of her hospital course:,1
RECOMMENDATIONS AT THE TIME OF TRANSFER:,3
His NICU stay by systems:,1
Admission CTA:,2
Admission CXray:,1
PLACEMENT OF DIALYSIS CATHETER:,1
STUDIES FROM PRIOR HOSPITALIZATIONS:,1
Microbiology results pending at discharge:,1
INTERVENTIONS:,5
examination is as follows:,1
His current hospital course by systems is as follows:,1
as your Cardiologist:,1
RESPIRATORY:,7
We have started you on some new medications:,1
By problem:,6
Social Work:,2
This is the insulin regimen that we recommend for you:,1
Before meals:,1
Before bed:,1
These are the changes to your medicine:,1
Sliding Scale Insulin to the follow table:,1
You have the following appointments previously scheduled:,1
appointment within the next week:,1
Some other issues to date with this patient are:,1
with the addition of:,1
Medications prior to admission:,13
information as follows:,1
were the following:,1
OTHER MEDICATIONS:,3
MEDICATIONS AT THE TIME OF REHABILITATION:,1
significant for the following events:,1
HYPERTENSION:,10
HYPERLIPIDEMIA:,1
Unstable angina:,1
Stroke:,4
Follow UP:,1
EKG on admission:,7
CCU to MICU team is as follows:,1
DISCHARGE DISPOSITION:,13
   Conclusions:,1
CARE AND RECOMMENDATIONS ON DISCHARGE:,7
You also have other appointments in OMR:,1
records:,2
THE DIAGNOSIS OF HER LAST HOSPITAL STAY OF HER LIFE:,1
ADMITTING DIAGNSOIS:,1
MEDICATIONS ON TRANSFER FROM THE MEDICINE FLOOR TO THE CCU:,1
Psurg:,3
SPINAL FLUIDS:,1
BMT COURSE:,1
CURRENT RECOMMENDATIONS AT DISCHARGE:,1
